bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price(k)
3.0,1.0,1180,5650.0,1.0,0,0,3,7.0,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,221.9
3.0,2.25,2570,7242.0,2.0,0,0,3,7.0,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,538.0
2.0,1.0,770,10000.0,1.0,0,0,3,6.0,770,0,1933,0,98028,47.7379,-122.233,2720,8062,180.0
4.0,3.0,1960,5000.0,1.0,0,0,5,7.0,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,604.0
3.0,2.0,1680,8080.0,1.0,0,0,3,8.0,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,510.0
4.0,4.5,5420,101930.0,1.0,0,0,3,11.0,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,1225.0
3.0,2.25,1715,6819.0,2.0,0,0,3,7.0,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,257.5
3.0,1.5,1060,9711.0,1.0,0,0,3,7.0,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,291.85
3.0,1.0,1780,7470.0,1.0,0,0,3,7.0,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,229.5
3.0,2.5,1890,6560.0,2.0,0,0,3,7.0,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,323.0
3.0,2.5,3560,9796.0,1.0,0,0,3,8.0,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,662.5
2.0,1.0,1160,7620.0,1.0,0,0,4,7.0,860,300,1942,0,98115,47.69,-122.292,1330,6000,468.0
3.0,1.0,1430,19901.0,1.5,0,0,4,7.0,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,310.0
3.0,1.75,1370,9680.0,1.0,0,0,4,7.0,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,400.0
5.0,2.0,1810,4850.0,1.5,0,0,3,7.0,1810,0,1900,0,98107,47.67,-122.394,1360,4850,530.0
4.0,3.0,2950,5000.0,2.0,0,3,3,9.0,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,650.0
3.0,2.0,1890,14040.0,2.0,0,0,3,7.0,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,395.0
4.0,1.0,1600,4300.0,1.5,0,0,4,7.0,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,485.0
2.0,1.0,1200,9850.0,1.0,0,0,4,7.0,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,189.0
3.0,1.0,1250,9774.0,1.0,0,0,4,7.0,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,230.0
4.0,1.75,1620,4980.0,1.0,0,0,4,7.0,860,760,1947,0,98133,47.7025,-122.341,1400,4980,385.0
3.0,2.75,3050,44867.0,1.0,0,4,3,9.0,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,2000.0
5.0,2.5,2270,6300.0,2.0,0,0,3,8.0,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,285.0
2.0,1.5,1070,9643.0,1.0,0,0,3,7.0,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,252.7
3.0,2.25,2450,6500.0,2.0,0,0,4,8.0,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,329.0
3.0,2.0,1710,4697.0,1.5,0,0,5,6.0,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,233.0
3.0,1.75,2450,2691.0,2.0,0,0,3,8.0,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,937.0
3.0,1.0,1400,1581.0,1.5,0,0,5,8.0,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,667.0
3.0,1.75,1520,6380.0,1.0,0,0,3,7.0,790,730,1948,0,98115,47.695,-122.304,1520,6235,438.0
4.0,2.5,2570,7173.0,2.0,0,0,3,8.0,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,719.0
3.0,2.5,2320,3980.0,2.0,0,0,3,8.0,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,580.5
2.0,1.5,1190,1265.0,3.0,0,0,3,7.0,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,280.0
4.0,1.75,2330,7620.0,1.5,0,0,4,7.0,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,687.5
3.0,1.0,1090,3000.0,1.5,0,0,4,8.0,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,535.0
4.0,2.75,2060,6659.0,1.0,0,0,3,7.0,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,322.5
3.0,2.5,2300,3060.0,1.5,0,0,3,8.0,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,696.0
4.0,1.0,1660,34848.0,1.0,0,0,1,5.0,930,730,1933,0,98052,47.6621,-122.132,2160,11467,550.0
4.0,2.0,2360,7620.0,2.0,0,0,4,8.0,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,640.0
4.0,1.0,1220,8075.0,1.0,0,0,2,7.0,890,330,1969,0,98001,47.3341,-122.282,1290,7800,240.0
4.0,2.5,2620,7553.0,2.0,0,0,3,8.0,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,605.0
4.0,2.5,2570,5520.0,2.0,0,0,3,9.0,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,625.0
4.0,2.25,4220,24186.0,1.0,0,0,3,8.0,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,775.0
5.0,2.75,3595,5639.0,2.0,0,0,3,9.0,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,861.99
3.0,1.0,1570,2280.0,2.0,0,0,3,7.0,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,685.0
3.0,1.0,1280,9656.0,1.0,0,0,4,6.0,920,360,1959,0,98058,47.4485,-122.175,1340,8808,309.0
3.0,2.5,3160,13603.0,2.0,0,0,3,8.0,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,488.0
3.0,1.0,990,8528.0,1.0,0,0,3,6.0,990,0,1966,0,98023,47.3066,-122.371,1228,8840,210.49
4.0,2.5,2290,13416.0,2.0,0,0,4,9.0,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,785.0
3.0,1.75,1250,5963.0,1.0,0,0,4,7.0,1250,0,1953,0,98115,47.6796,-122.301,970,5100,450.0
3.0,2.5,2753,65005.0,1.0,1,2,5,9.0,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,1350.0
3.0,1.0,1190,9199.0,1.0,0,0,3,7.0,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,228.0
5.0,2.5,3150,9134.0,1.0,0,0,4,8.0,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,345.0
3.0,1.75,1410,4080.0,1.0,0,0,4,7.0,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,600.0
2.0,1.75,1980,8550.0,1.0,0,0,3,7.0,990,990,1981,0,98117,47.6989,-122.369,1480,6738,585.0
5.0,2.25,2730,6000.0,1.5,0,0,3,8.0,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,920.0
4.0,2.5,2830,5000.0,2.0,0,0,3,9.0,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,885.0
4.0,2.5,2250,4495.0,2.0,0,0,3,7.0,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,292.5
3.0,2.5,2420,4750.0,2.0,0,0,3,8.0,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,301.0
5.0,3.25,3250,14342.0,2.0,0,4,4,8.0,3250,0,1968,0,98008,47.588,-122.116,2960,11044,951.0
4.0,3.0,1850,9976.0,2.0,0,0,3,8.0,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,430.0
3.0,2.25,2150,21235.0,1.0,0,3,4,8.0,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,650.0
3.0,1.75,1260,8400.0,1.0,0,0,3,7.0,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,289.0
3.0,1.75,2519,8690.0,2.0,0,0,5,8.0,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,505.0
3.0,1.75,1540,1044.0,3.0,0,0,3,8.0,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,549.0
3.0,2.25,1660,6000.0,1.0,0,0,3,7.0,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,425.0
3.0,2.75,2770,3809.0,1.5,0,0,5,7.0,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,317.625
4.0,2.5,2720,11049.0,2.0,0,0,3,10.0,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,975.0
4.0,2.5,2240,4648.0,2.0,0,0,3,7.0,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,287.0
3.0,1.0,1000,12070.0,1.0,0,0,4,7.0,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,204.0
5.0,2.25,3200,20158.0,1.0,0,0,3,8.0,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,1325.0
5.0,3.25,4770,50094.0,1.0,0,0,4,11.0,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,1040.0
3.0,2.0,1260,5612.0,1.0,0,0,4,7.0,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,325.0
4.0,2.0,2750,7807.0,1.5,0,0,5,7.0,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,571.0
4.0,2.5,2380,5000.0,2.0,0,0,3,8.0,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,360.0
3.0,1.75,1790,50529.0,1.0,0,0,5,7.0,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,349.0
4.0,4.0,3430,35102.0,2.0,0,0,4,10.0,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,832.5
